ds,yhat,yhat_lower,yhat_upper
2024-01-15,78.00000770219467,78.00000770067095,78.0000077037312
2024-02-15,80.00000946470612,80.00000946315136,80.00000946625322
2024-03-15,82.00000654246256,82.00000654104888,82.00000654394955
2024-04-15,84.0000087087598,84.00000870728827,84.00000871027625
2024-05-15,83.00000644840901,83.00000644688576,83.00000644988312
2024-06-15,82.00000753944511,82.00000753808543,82.0000075409215
2024-07-15,84.00000566054956,84.00000565910345,84.00000566209145
2024-08-15,86.00000843558306,86.00000843410356,86.00000843701312
2024-09-15,85.00001054291488,85.00001054145365,85.00001054441022
2024-10-15,84.00000971703054,84.00000971544807,84.00000971850764
2024-11-15,83.00000939673961,83.0000093953049,83.00000939827834
2024-12-15,85.0000084060807,85.00000840456218,85.00000840752884
2025-01-15,85.00000966999207,85.00000966847699,85.00000967139168
2025-02-15,86.0000120117576,86.00001201030335,86.00001201323808
2025-03-15,87.0000051566995,87.00000515515512,87.00000515813046
2025-04-15,88.0000087441968,88.00000874273083,88.00000874567836
2025-05-15,87.00000518141408,87.00000517998691,87.00000518293817
2025-06-15,89.00000764573986,89.00000764417288,89.00000764737652
2025-07-15,90.00000445952261,90.0000044579644,90.00000446102807
2025-08-15,92.00000860654586,92.00000860497205,92.00000860801998
2025-09-15,91.00001175907488,91.00001175754865,91.00001176053233
2025-10-15,93.00001029054269,93.00001028906432,93.0000102920548
2025-11-15,92.00001117996314,92.00001117855737,92.00001118151695
2025-12-15,90.00000935722198,90.00000935562282,90.00000935875266
2026-01-15,89.0000117935488,89.0000117921042,89.00001179489718
2026-02-15,90.00001481058138,90.00001480922101,90.0000148119596
2026-03-15,95.00000294312417,95.00000294158892,95.00000294459666
2026-04-15,110.00000767460102,110.00000767304304,110.00000767614712
2026-05-15,98.00000325166133,98.00000325006175,98.00000325318511
2026-05-16,133.7832222484784,133.78322224691837,133.78322225030595
2026-05-17,143.5809031954976,143.58090319309872,143.60416387975377
2026-05-18,155.08836695677516,155.03784419449008,155.1629119117977
2026-05-19,200.51925322813537,200.38572520208285,200.6864869938195
2026-05-20,264.5727921258444,264.3500736439177,264.8225020042065
2026-05-21,304.73810629341517,304.384336755613,305.1211499658865
2026-05-22,320.21149918826853,319.7555593037449,320.7926465453127
2026-05-23,378.9956237813166,378.438402453709,379.7244522517126
2026-05-24,549.6215971589484,548.9479215591406,550.4628178205369
2026-05-25,792.788285444972,791.9925863788657,793.7408865209173
2026-05-26,934.0607779135817,933.1433182128575,935.1133334124422
2026-05-27,780.3052565029952,779.2649167048141,781.5616866751418
2026-05-28,302.3204861094496,301.1184488686009,303.7268114424046
2026-05-29,-281.59815491503963,-282.9266845883626,-280.03319821278603
2026-05-30,-623.5757172569959,-625.0182176199579,-621.8741731176597
2026-05-31,-495.981263317912,-497.5632882705127,-494.1231413080414
2026-06-01,25.376526244877596,23.596859219561505,27.384418907755773
2026-06-02,604.265210113595,602.3082223758237,606.5007299529838
2026-06-03,889.2675589939579,887.0317838616658,891.7328292941415
2026-06-04,766.5122052265137,764.0350387771517,769.1448570937694
2026-06-05,418.56550892213596,415.83435289318345,421.33460647104846
2026-06-06,152.6268253420155,149.71276856629,155.5286772416907
2026-06-07,151.92935277348897,148.83302039619113,155.02777862283202
2026-06-08,355.98072301482057,352.69030673813813,359.25956452780827
2026-06-09,550.4192845487419,546.8733886662828,553.8547683175749
